URI,Title,Year,Album,Popularity,Duration,Key,Mode,Tempo,Time_signature,Valence,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Album debut,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter(s),Lead vocal(s),Cover,Covered by,Chart position UK (Wikipedia),Chart position US (Wikipedia),Highest position (The Guardian),Weeks on chart in UK (The Guardian),Weeks at No1 in UK (The Guardian),Highest position (Billboard),Weeks at No1 (Billboard),Top 50 (Billboard),Top 50 (Ultimate classic rock),Top 50 (Rolling Stone),Top 50 (NME),Top 50 (Top50songs.org),"Top 50 (USA today, 2017)","Top 50 (Vulture, by Bill Wyman)"
spotify:track:2XWLSham4kXI9ZSo75E4Rj,Cry for a Shadow,1961,Anthology 1,34.0,142.0,0.0,1.0,143.809,4.0,0.864,0.514,0.834,-7.382,0.545,0.000154,0.162,0.034,Anthology 1,,,,,"Instrumental Rock, Pop/Rock","British Invasion, Rock & Roll","Affection/Fondness, Day Driving, In Love, New Love, Playful, Hanging Out",Rollicking Amiable/Good-Natured Cheerful Fun Playful Exuberant Innocent,Lennon and Harrison,,,2.0,,,,,,,,,,,,,,
spotify:track:3L3fx4XnKCnZCaU3zQxBC1,"Crying, Waiting, Hoping",1963,Live at the BBC,30.0,131.0,9.0,1.0,133.613,4.0,0.895,0.647,0.312,-14.55,0.689,0.0,0.1,0.0358,Live at the BBC,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, Feeling Blue, Reflection",Dramatic Innocent Passionate Reflective Romantic Detached Earnest Melancholy Sentimental Summery Wistful Earthy Naive Sparkling Street-Smart Sweet Whimsical Bittersweet Intimate,Buddy Holly,Harrison,Y,,,,,,,,,,,,,,,
spotify:track:7qbRP2jO0Sq3kTYdEW1v00,Day Tripper,1965,Past Masters (Vols. 1 & 2 / Remastered),44.0,170.0,6.0,0.0,137.698,4.0,0.729,0.643,0.723,-10.628,0.104,1.23e-06,0.274,0.0299,UK: A Collection of Beatles Oldies US: Yesterday and Today,20.0,We Can Work It Out,Day Tripper,RIAA Gold,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",Breakup,Energetic Exciting Rousing Freewheeling Lively Passionate Swaggering Acerbic Urgent Circular Sardonic,"Lennon, with McCartney",Lennon and McCartney,,33.0,1.0,5.0,1.0,12.0,5.0,5.0,,29.0,30.0,39.0,,40.0,34.0,30.0
spotify:track:5NQYyej46WQkgCbnzGD21W,Dear Prudence,1968,The Beatles,61.0,236.0,7.0,1.0,150.721,4.0,0.332,0.388,0.529,-10.533,0.16,0.0681,0.108,0.0436,The Beatles,9.0,,,,"Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",Affection/Fondness,Circular Delicate Dreamy Ethereal Intimate Poignant Spacey Trippy Wistful Precious Reflective Hypnotic Yearning Sweet,Lennon,Lennon,,15.0,,,,,,,,,,,37.0,,50.0,6.0
spotify:track:5maTh4fY9SlgR3FhRkf040,Devil in Her Heart,1963,With the Beatles,49.0,147.0,7.0,1.0,121.072,4.0,0.966,0.618,0.622,-8.861,0.227,0.0,0.0438,0.0296,UK: With the Beatles US: The Beatles Second Album,11.0,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Earnest Rousing Bittersweet Yearning Sweet Poignant Warm,Drapkin (aka Ricky Dee),Harrison,Y,,,,,,,,,,,,,,,
spotify:track:0eRyOunOVBChlXxIvqwOxH,Dig It,1969,Let It Be,48.0,51.0,5.0,1.0,157.03,3.0,0.67,0.54,0.489,-12.276,0.659,0.0019,0.457,0.117,Let It Be,10.0,,,,"Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Celebrities, Politics/Society, Protest, Relationships",Freewheeling Humorous Irreverent Meandering Quirky Ramshackle Rousing Sprawling Playful,"Lennon, with McCartney, Harrison and Starkey",Lennon,,,,,,,,,,,,,,,,
spotify:track:4OUmlC67FoPLvQNuE5C7kF,Dig a Pony,1969,Let It Be,54.0,232.0,11.0,0.0,59.004,4.0,0.527,0.538,0.478,-8.957,0.472,0.0,0.17,0.0388,Let It Be,12.0,,,,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll","Adventure, Awareness, Biographical, Fantasy, In Love, Loneliness, Relationships, Wisdom",Freewheeling Ramshackle Rousing Playful Searching Quirky Meandering Sprawling Yearning Melancholy,Lennon,Lennon,,3.0,,,,,,,,,,,,,,
spotify:track:70Dohn82wv6VtxGesqRzbZ,Dizzy Miss Lizzy,1965,Help!,50.0,145.0,9.0,1.0,136.037,4.0,0.918,0.373,0.934,-6.753,0.116,0.00445,0.0962,0.0591,UK: Help! US: Beatles VI,18.0,,,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll",Partying,Energetic Fun Rollicking Rousing Raucous Exciting Fiery Passionate Rowdy Freewheeling,Williams,Lennon,Y,,,,,,,,,,,,,,,
spotify:track:7Aobt67JnaF7qN8jCCKvHq,Do You Want to Know a Secret?,1963,Please Please Me,66.0,116.0,4.0,1.0,124.451,4.0,0.609,0.673,0.349,-12.414,0.608,0.0,0.38,0.0368,UK: Please Please Me US: The Early Beatles,23.0,Do You Want to Know a Secret?,Thank You Girl,RIAA Gold,Pop/Rock,"British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Affection/Fondness, Heartache",Bright Amiable/Good-Natured Cheerful Earnest Sweet Warm Innocent Romantic Sentimental Whimsical,Lennon,Harrison,,7.0,,2.0,,,,2.0,,26.0,,,,,,
spotify:track:1ob06Ol8FMIPQgjpg7bMyk,Doctor Robert,1966,Revolver,52.0,135.0,4.0,1.0,164.626,4.0,0.574,0.394,0.64,-8.992,0.164,0.139,0.153,0.0488,UK: Revolver US: Yesterday and Today,6.0,,,,"Psychedelic Rock, Power Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage",Illness,Bright Sardonic Druggy Wry Playful Quirky Trippy Brash Lively,"Lennon, with McCartney",Lennon,,1.0,,,,,,,,,,,,,,
spotify:track:7y1hMqXNa0dKQLZH7CKbUG,Don't Bother Me,1963,With the Beatles,53.0,149.0,2.0,1.0,170.377,4.0,0.916,0.371,0.724,-9.792,0.554,0.0,0.299,0.0562,UK: With the Beatles US: Meet The Beatles!,11.0,,,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Breakup, Heartache, Introspection, Reflection, Jealousy, Regret",Nocturnal Rollicking Angst-Ridden Autumnal Bitter Bittersweet Brooding Dramatic Gloomy Melancholy Somber Freewheeling Quirky,Harrison,Harrison,,2.0,,,,,,,,,,,,,,
spotify:track:28FjGYrChzX3TwBcgGVqT5,Don't Ever Change,1963,Live at the BBC,30.0,125.0,4.0,1.0,136.735,4.0,0.864,0.561,0.462,-13.931,0.795,0.0,0.134,0.0386,Live at the BBC,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, In Love, New Love",Innocent Reflective Romantic Earnest Freewheeling Light Refined Reserved Sentimental Soothing Summery Wistful Earthy Naive Sparkling Sweet Whimsical Intimate,"Goffin, King",Harrison,Y,,,,,,,,,,,,,,,
spotify:track:5BhMoGrz5KzG2fA5uzHjZ1,Don't Let Me Down,1969,Past Masters (Vols. 1 & 2 / Remastered),48.0,215.0,4.0,1.0,163.63,4.0,0.783,0.486,0.489,-8.626,0.147,8.63e-06,0.135,0.0365,UK: 1967-1970 US: Hey Jude,17.0,Get Back,Don't Let Me Down,RIAA 2xPlatinum,"Blues Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Passionate Searching Urgent Yearning Warm Earnest Poignant,Lennon,Lennon,,19.0,,35.0,,,,,,,,46.0,,,,
spotify:track:4zq4rrfHZeZsTbo5vjJXSV,Don't Pass Me By,1968,The Beatles,52.0,231.0,0.0,1.0,84.895,4.0,0.946,0.599,0.537,-9.617,0.594,1.92e-05,0.194,0.0254,The Beatles,11.0,,,,"Country Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock","Feeling Blue, Heartache, Late Night",Amiable/Good-Natured Freewheeling Fun Meandering Messy Nocturnal Playful Quirky Ramshackle Rousing,Starkey,Starkey,,2.0,,,,,,,,,,,,,,
spotify:track:06ypiqmILMdVeaiErMFA91,Drive My Car,1965,Rubber Soul,69.0,148.0,2.0,1.0,122.463,4.0,0.82,0.754,0.571,-8.547,0.0173,0.0,0.3,0.0421,UK: Rubber Soul US: Yesterday and Today,17.0,,,,"Rock, R&B, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Bravado Bright Lively Playful Rousing Witty Freewheeling Fun Humorous Exciting Brash Nocturnal Rollicking Literate,"McCartney, with Lennon","McCartney, with Lennon",,12.0,,,,,,,,,43.0,43.0,,38.0,39.0,38.0
spotify:track:1Dg4dFJr3HW7sbA7vPejre,Eight Days a Week,1964,Beatles for Sale,69.0,164.0,9.0,1.0,138.134,4.0,0.744,0.652,0.583,-7.811,0.412,0.0,0.119,0.038,UK: Beatles for Sale US: Beatles VI,23.0,Eight Days a Week,I Don't Want to Spoil the Party,RIAA Gold,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",In Love,Bright Energetic Exuberant Happy Joyous Rollicking Rousing Effervescent Fun Summery Sweet Carefree,"McCartney, with Lennon","Lennon, with McCartney",,6.0,,1.0,,,,1.0,2.0,21.0,28.0,34.0,,28.0,,
spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,Eleanor Rigby,1966,Revolver,72.0,128.0,4.0,0.0,137.831,4.0,0.813,0.581,0.28,-9.091,0.936,1.56e-05,0.305,0.0381,Revolver,16.0,Yellow Submarine,Eleanor Rigby,RIAA Gold,"Baroque Pop, Art Rock, Pop/Rock","Baroque Pop, British Invasion, Contemporary Pop/Rock, Early Pop/Rock",Introspection,Eerie Elegant Gloomy Melancholy Sad Wintry Bittersweet Complex Literate Refined Reflective Sophisticated Insular Plaintive Wistful Yearning Brooding Searching Unsettling Wry,McCartney,McCartney,,56.0,1.0,11.0,,,,11.0,,38.0,16.0,22.0,27.0,9.0,12.0,9.0
spotify:track:2CxTkdvhDuQrOxl8xXkdJS,Every Little Thing,1964,Beatles for Sale,48.0,121.0,2.0,1.0,123.227,4.0,0.678,0.74,0.49,-9.095,0.488,0.0,0.103,0.038,UK: Beatles for Sale US: Beatles VI,9.0,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock",In Love,Reflective Summery Sweet Wistful Gentle Precious Relaxed,McCartney,"Lennon, with McCartney",,1.0,,,,,,,,,,,,,,
spotify:track:64P3zpRsDHIk7YTpRtaKYL,Everybody's Got Something to Hide Except Me and My Monkey,1968,The Beatles,52.0,144.0,2.0,1.0,117.089,4.0,0.81,0.523,0.731,-8.613,0.0207,0.000464,0.081,0.0559,The Beatles,10.0,,,,"Hard Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, Album Rock",,Brash Energetic Exciting Exuberant Freewheeling Fun Irreverent Playful Raucous Rollicking Rousing Silly Cheerful Quirky Giddy Lively Rambunctious Rowdy Swaggering,Lennon,Lennon,,9.0,,,,,,,,,,,,,,
spotify:track:4DZAH8eiqSAkMIE9l5D71U,Everybody's Trying to Be My Baby,1964,Beatles for Sale,46.0,143.0,4.0,1.0,85.172,4.0,0.943,0.543,0.806,-7.231,0.466,0.0,0.134,0.0385,UK: Beatles for Sale US: Beatles '65,21.0,,,,"Rock and Roll, Rockabilly, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Rockabilly","Summer, Cool & Cocky, Guys Night Out, Hanging Out, Night Driving, Partying, TGIF",Rollicking Rousing Freewheeling Fun Playful Ramshackle Raucous Swaggering,Perkins,Harrison,Y,,,,,,,,,,,,,,,
spotify:track:3pKKxkeB1pOUMHwWBmKc3Y,Fixing a Hole,1967,Sgt. Pepper's Lonely Hearts Club Band,56.0,146.0,0.0,0.0,112.984,4.0,0.619,0.469,0.507,-8.917,0.382,0.0,0.0783,0.0451,Sgt. Pepper's Lonely Hearts Club Band,5.0,,,,"Psychedelic pop, Baroque Pop, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage",,Amiable/Good-Natured Bright Playful Summery Trippy Whimsical Atmospheric Carefree Quirky Witty Cheerful Searching Sophisticated Lazy Rousing,McCartney,McCartney,,5.0,,,,,,,,,,,,,49.0,
spotify:track:1itLKsCWHtLnxALkgBk1Fa,Flying,1967,Magical Mystery Tour,53.0,137.0,0.0,1.0,92.929,4.0,0.261,0.551,0.395,-14.755,0.368,0.88,0.0932,0.0501,Magical Mystery Tour,12.0,,,,"Psychedelic Rock, Instrumental Rock, Space Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Instrumental Rock, Psychedelic/Garage",,Dreamy Freewheeling Playful Quirky Spacey Trippy Whimsical Amiable/Good-Natured Relaxed Laid-Back/Mellow Soothing Fun,"Lennon, McCartney, Harrison and Starkey",,,2.0,,,,,,,,,,,,,,
spotify:track:1kDkaFlmkdEZiVUogaP9OZ,For No One,1966,Revolver,67.0,121.0,1.0,0.0,81.208,4.0,0.713,0.483,0.351,-10.487,0.783,0.0,0.115,0.0278,Revolver,9.0,,,,"Baroque Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","Breakup, Divorce, Feeling Blue, Introspection, Loss/Grief, Regret, Reflection",Bittersweet Elegant Gentle Melancholy Poignant Reflective Sad Sophisticated Calm/Peaceful Intimate Literate Refined Yearning Delicate Lush Precious,McCartney,McCartney,,10.0,,,,,,,,,,40.0,18.0,,24.0,34.0
spotify:track:5dpRJkvY8oWMQmQbEQTXhO,For You Blue,1969,Let It Be,52.0,152.0,2.0,1.0,128.542,4.0,0.955,0.88,0.556,-10.773,0.24,0.0483,0.24,0.0855,Let It Be,13.0,The Long and Winding Road,For You Blue,RIAA Platinum,"Country Blues, Pop/Rock, Blues","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Blues-Rock, British Blues, Regional Blues","In Love, Biographical, Hope, Relationships, Reminiscing, Yearning",Amiable/Good-Natured Freewheeling Humorous Laid-Back/Mellow Lazy Ramshackle Playful Carefree Fun Quirky,Harrison,Harrison,,1.0,,71.0,,,,,,,,,,,,
spotify:track:6hLY3Tz1Xt5kBuKNDTs4ib,Free As a Bird,1977/1994,Anthology 1,53.0,266.0,9.0,1.0,72.323,4.0,0.457,0.474,0.503,-9.074,0.0438,0.016,0.153,0.0279,Anthology 1,,Free as a Bird,Christmas Time (Is Here Again),BPI Silver; RIAA Gold,"Rock, Pop/Rock",Contemporary Pop/Rock,,Laid-Back/Mellow Passionate Rousing Sentimental,"Lennon, with McCartney, Harrison and Starkey","Lennon, McCartney and Harrison",,6.0,2.0,6.0,2.0,8.0,,6.0,,39.0,,,,,,
spotify:track:7nBGBbzfnPiowCvXKJnV9J,From Me to You,1963,Past Masters (Vols. 1 & 2 / Remastered),42.0,116.0,7.0,1.0,136.125,4.0,0.966,0.644,0.66,-8.513,0.613,0.0,0.269,0.0309,UK: A Collection of Beatles Oldies US: 1962-1966,34.0,From Me to You,Thank You Girl,,"Merseybeat, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",In Love,Bright Cheerful Effervescent Fun Warm Earnest Exuberant Happy Sweet Carefree Light Playful,Lennon and McCartney,Lennon and McCartney,,10.0,1.0,41.0,1.0,21.0,7.0,,,,44.0,,,,,
spotify:track:4MLBqAEzNN89o2M9h92Z26,Get Back,1969,Let It Be,70.0,194.0,2.0,1.0,123.095,4.0,0.332,0.761,0.592,-9.836,0.492,0.00626,0.61,0.0586,Let It Be,28.0,Get Back,Don't Let Me Down,RIAA 2xPlatinum,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Argument, Lifecycle, Starting Out",Freewheeling Humorous Irreverent Playful Rollicking Rousing Fun Warm Whimsical Quirky,McCartney,McCartney,,21.0,1.0,1.0,1.0,17.0,6.0,1.0,5.0,4.0,29.0,41.0,32.0,14.0,30.0,
spotify:track:3LtOmWpTXLhilL5odoKysR,Getting Better,1967,Sgt. Pepper's Lonely Hearts Club Band,56.0,167.0,0.0,1.0,121.672,4.0,0.764,0.632,0.471,-7.887,0.313,5.08e-06,0.0712,0.0348,Sgt. Pepper's Lonely Hearts Club Band,5.0,,,,"Psychedelic Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage",Reflection,Bright Energetic Lively Rousing Searching Summery Whimsical Rollicking Brash Brittle Passionate Witty Wry Atmospheric Playful Sardonic,"McCartney, with Lennon",McCartney,,11.0,,,,,,,,,48.0,,,49.0,,
spotify:track:6tQvjqDIK9GXWIC6mejms8,Girl,1965,Rubber Soul,66.0,153.0,5.0,0.0,96.615,4.0,0.893,0.699,0.294,-13.205,0.587,0.0,0.117,0.0294,Rubber Soul,17.0,Michelle,Girl,,"Folk, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Feeling Blue, Heartache, Introspection, Reflection, Regret",Autumnal Bittersweet Melancholy Poignant Reflective Weary Wistful Yearning Intimate Plaintive Sad Searching Elegant Organic Literate Sophisticated Warm,Lennon,Lennon,,11.0,,,,,,,,,,,,47.0,38.0,
spotify:track:4a75E2Hcz8gQWnEAoK2WBR,Glad All Over,1963,Live at the BBC,25.0,113.0,9.0,1.0,92.458,4.0,0.913,0.604,0.617,-11.213,0.583,0.0,0.454,0.0346,Live at the BBC,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Cool & Cocky, Guys Night Out, In Love, Partying",Amiable/Good-Natured Swaggering Bright Gritty Rollicking Romantic Yearning Bravado Energetic Lively Passionate Whimsical Confident Sparkling Street-Smart Freewheeling Summery,"Bennett, Tepper, Schroeder",Harrison,Y,,,,,,,,,,,,,,,
spotify:track:2jAojvUaPoHPFSPpF0UNRo,Glass Onion,1968,The Beatles,58.0,137.0,7.0,0.0,120.432,4.0,0.789,0.523,0.51,-9.827,0.0123,8.38e-05,0.108,0.0514,The Beatles,8.0,,,,"Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Psychedelic/Garage, Rock & Roll",Vacation,Trippy Freewheeling Humorous Irreverent Playful Quirky Rollicking Rousing Whimsical Enigmatic Cynical/Sarcastic Energetic Sardonic Witty,Lennon,Lennon,,2.0,,,,,,,,,,,,46.0,,
spotify:track:01SfTM5nfCou5gQL70r6gs,Golden Slumbers,1969,Abbey Road,70.0,91.0,0.0,1.0,80.608,4.0,0.239,0.419,0.152,-12.126,0.326,0.0034,0.113,0.0277,Abbey Road,5.0,,,,"Rock, Baroque Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock",,Dramatic Indulgent Lush Sophisticated Theatrical Whimsical Dreamy Searching Atmospheric Refined Self-Conscious Passionate Yearning,McCartney,McCartney,,16.0,,,,,,,,,,,,45.0,,
spotify:track:7HTH1ppjkkOe7RLoBDKXYJ,Good Day Sunshine,1966,Revolver,65.0,129.0,11.0,1.0,117.331,3.0,0.571,0.77,0.496,-8.45,0.719,0.0,0.123,0.0468,Revolver,7.0,,,,"Sunshine Pop, Music Hall, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","Playful, Summer",Carefree Cheerful Fun Happy Playful Rollicking Summery Warm Relaxed Sweet,McCartney,McCartney,,4.0,,,,,,,,,,,,,,
spotify:track:0xIuNHHcKI1JDuBPlSwzb1,"Good Morning, Good Morning",1967,Sgt. Pepper's Lonely Hearts Club Band,52.0,161.0,2.0,1.0,121.849,3.0,0.93,0.542,0.618,-8.876,0.0858,0.0,0.772,0.139,Sgt. Pepper's Lonely Hearts Club Band,6.0,,,,"Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock",Reflection,Brash Brassy Bright Energetic Exciting Freewheeling Lively Rousing Summery Whimsical Irreverent Playful Quirky Carefree Exuberant Swaggering Witty Wry,Lennon,Lennon,,8.0,,,,,,,,,,,,,,
spotify:track:3T4Kt51PV4k8tx6YCtBgcl,Good Night,1968,The Beatles,51.0,191.0,7.0,1.0,146.408,3.0,0.178,0.146,0.355,-14.583,0.865,0.835,0.114,0.0352,The Beatles,8.0,,,,"Orchestral Pop, Lullaby, Pop/Rock","Lullabies, Contemporary Pop/Rock, Early Pop/Rock, Baroque Pop",Family Gatherings,Amiable/Good-Natured Calm/Peaceful Dreamy Earnest Laid-Back/Mellow Lazy Lush Poignant Sentimental Sugary Warm Gentle Elegant Precious Whimsical,Lennon,Starkey,,7.0,,,,,,,,,,,,,,
spotify:track:2cQGln8y7OgSOLxSHkgehd,Goodbye,1969,Abbey Road (Super Deluxe Edition),45.0,144.0,11.0,1.0,126.695,3.0,0.563,0.556,0.174,-15.047,0.918,0.000681,0.114,0.0462,,,,,,"Children's, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Singer/Songwriter",,Amiable/Good-Natured Delicate Earnest Gentle Intimate Light Organic Poignant Soothing Summery Sweet Warm Elegant Precious Sentimental Soft/Quiet Springlike Wistful,McCartney,McCartney,,,,,,,,,,,,,,,,
spotify:track:3tGhRLgcCP6SIZU3tbGl7l,Got to Get You Into My Life,1966,Revolver,60.0,147.0,0.0,1.0,136.679,4.0,0.711,0.521,0.524,-6.136,0.42,9.27e-06,0.0838,0.0302,Revolver,8.0,Got to Get You into My Life,Helter Skelter,RIAA Gold,"R&B, Rock, Jazz Fusion, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Pop-Soul, Rock & Roll, Soul",,Bright Cheerful Exuberant Rousing Carefree Confident Lively Passionate Rollicking Summery Energetic Playful Swaggering Urgent,McCartney,McCartney,,10.0,,7.0,,,,7.0,,23.0,26.0,50.0,28.0,,,
spotify:track:5aOteYP6rA7vvBA7TG4Zpx,"Hallelujah, I Love Her So",1960,Anthology 1,30.0,73.0,5.0,1.0,131.028,4.0,0.827,0.569,0.82,-7.024,0.989,0.915,0.68,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:71LsKf3xISiOlY1mj7FFPP,Happiness Is a Warm Gun,1968,The Beatles,61.0,163.0,9.0,0.0,139.288,4.0,0.44,0.431,0.54,-9.6,0.523,1.34e-06,0.169,0.0589,The Beatles,7.0,,,,Pop/Rock,"British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Hard Rock, Prog-Rock",,Complex Nocturnal Ominous Provocative Sardonic Snide Acerbic Cynical/Sarcastic Druggy Menacing Quirky Sprawling Circular Literate Paranoid Rousing Wry,Lennon,Lennon,,11.0,,,,,,,,,,24.0,,50.0,41.0,
spotify:track:0F3N8OIn6obTkJfZWbOMrm,Hello Little Girl,1962,Anthology 1,33.0,100.0,2.0,1.0,76.593,4.0,0.662,0.473,0.669,-6.994,0.313,0.0,0.169,0.0639,Anthology 1,,,,,"Merseybeat, Pop/Rock",Early Pop/Rock,In Love,Amiable/Good-Natured Delicate Earnest Gentle Poignant Soothing Summery Sweet Warm Sentimental Springlike Wistful,Lennon,Lennon,,,,,,,,,,,,,,,,
spotify:track:0vZ97gHhemKm6c64hTfJNA,"Hello, Goodbye",1967,Magical Mystery Tour,63.0,207.0,0.0,1.0,99.307,4.0,0.806,0.479,0.733,-8.753,0.306,2.4e-05,0.414,0.0256,Magical Mystery Tour,14.0,"Hello, Goodbye",I Am the Walrus,RIAA Gold,Pop/Rock,"British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Cheerful Freewheeling Light Lush Quirky Sophisticated Whimsical Playful Stylish Summery Theatrical Energetic Precious Reflective Dreamy Trippy Melancholy,McCartney,McCartney,,6.0,1.0,1.0,1.0,12.0,7.0,1.0,3.0,7.0,45.0,,,22.0,,
spotify:track:7DD7eSuYSC5xk2ArU62esN,Help!,1965,Help!,74.0,138.0,6.0,0.0,95.003,4.0,0.763,0.534,0.725,-7.576,0.188,0.0,0.0994,0.0332,Help!,34.0,Help!,I'm Down,RIAA Gold,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","Feeling Blue, Heartache, Introspection",Angst-Ridden Exciting Intense Passionate Plaintive Rollicking Rousing Searching Urgent Yearning Anguished/Distraught Earnest Reflective Bittersweet Weary Melancholy,"Lennon, with McCartney",Lennon,,43.0,1.0,1.0,1.0,14.0,3.0,1.0,3.0,14.0,13.0,15.0,41.0,4.0,8.0,36.0
spotify:track:0Bs0hUYxz7REyIHH7tRhL2,Helter Skelter,1968,The Beatles,63.0,270.0,9.0,1.0,167.518,4.0,0.281,0.166,0.831,-8.469,0.000606,0.846,0.811,0.0894,The Beatles,13.0,Got to Get You into My Life,Helter Skelter,RIAA Gold,"Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock","Album Rock, Contemporary Pop/Rock, Hard Rock, Heavy Metal, Rock & Roll",,Aggressive Fierce Harsh Hostile Intense Menacing Nihilistic Nocturnal Ominous Outrageous Raucous Rebellious Reckless Rousing Rowdy Suffocating Visceral Exciting Fiery Malevolent Swaggering Volatile Freewheeling Provocative Unsettling Bravado Messy,McCartney,McCartney,,24.0,,,,,,,,,31.0,,,,31.0,
spotify:track:6UCFZ9ZOFRxK8oak7MdPZu,Her Majesty,1969,Abbey Road,27.0,23.0,2.0,1.0,100.874,3.0,0.522,0.703,0.215,-23.03,0.728,1.23e-06,0.13,0.0892,Abbey Road,8.0,,,,"Music Hall, Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Album Rock",,Bright Intimate Light Playful Sweet Whimsical Amiable/Good-Natured Cheerful Gentle Delicate Romantic,McCartney,McCartney,,1.0,,,,,,,,,,,,,,
spotify:track:6dGnYIeXmHdcikdzNNDMm2,Here Comes the Sun,1969,Abbey Road,87.0,186.0,9.0,1.0,129.171,4.0,0.394,0.557,0.54,-10.484,0.0339,0.00248,0.179,0.0347,Abbey Road,6.0,,,,"Folk Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Spring, Summer, The Great Outdoors",Bright Cheerful Happy Springlike Summery Sweet Delicate Sparkling,Harrison,Harrison,,27.0,,,,,,,,,32.0,28.0,4.0,5.0,9.0,16.0
