"This is a list of medallists at the Summer Olympic Games (1896-2004) with details of the year of the olympics, city, sport, discipline, athlete name, gender, event and medal",,,,,,,,,,
,,,,,,,,,,
"DISCLAIMER: No guarantees, express or implied, as to the accuracy or completeness of the information provided. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,City,Sport,Discipline,Athlete Name,NOC,Gender,Event,Event Gender,Medal,Position
1952,Helsinki,Gymnastics,Artistic G.,"SHAGINYAN, Grant",URS,Men,pommel horse,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"EUGSTER, Hans",SUI,Men,rings,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"LEONKIN, Dmitri",URS,Men,rings,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"SHAGINYAN, Grant",URS,Men,rings,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,Men,rings,M,Silver,2
1952,Helsinki,Fencing,Fencing,"BERCZELLY, Tibor",HUN,Men,sabre individual,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"KOVACS, Pal Adam",HUN,Men,sabre individual,M,Gold,1
1952,Helsinki,Fencing,Fencing,"GEREVICH, Aladar",HUN,Men,sabre individual,M,Silver,2
1952,Helsinki,Fencing,Fencing,"LAROYENNE, Jean",FRA,Men,sabre team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"LEFEVRE, Jacques",FRA,Men,sabre team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"LEVAVASSEUR, Jean",FRA,Men,sabre team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"MOREL, Bernard",FRA,Men,sabre team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"PIOT, Maurice",FRA,Men,sabre team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"TOURNON, Jean Francois",FRA,Men,sabre team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"BERCZELLY, Tibor",HUN,Men,sabre team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"GEREVICH, Aladar",HUN,Men,sabre team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"KARPATI, Rudolf",HUN,Men,sabre team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"KOVACS, Pal Adam",HUN,Men,sabre team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"PAPP, Bertalan",HUN,Men,sabre team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"RAJCSANYI, Laszlo",HUN,Men,sabre team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"DARE, Gastone",ITA,Men,sabre team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"FERRARI, Roberto",ITA,Men,sabre team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"NOSTINI, Renzo",ITA,Men,sabre team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"PELLINI, Giorgio",ITA,Men,sabre team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"PINTON, Vincenzo",ITA,Men,sabre team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"RACCA, Mauro",ITA,Men,sabre team,M,Silver,2
1952,Helsinki,Athletics,Athletics,"FUCHS, James Emanuel",USA,Men,shot put,M,Bronze,3
1952,Helsinki,Athletics,Athletics,"O, William Patrick Jr.",USA,Men,shot put,M,Gold,1
1952,Helsinki,Athletics,Athletics,"HOOPER, Darrow Clarence",USA,Men,shot put,M,Silver,2
1952,Helsinki,Athletics,Athletics,"TOCHENOVA, Klavdiya",URS,Women,shot put,W,Bronze,3
1952,Helsinki,Athletics,Athletics,"ZYBINA, Galina",URS,Women,shot put,W,Gold,1
1952,Helsinki,Athletics,Athletics,"WERNER-SCHULZE-ENTRUP, Marianne",GER,Women,shot put,W,Silver,2
1952,Helsinki,Rowing,Rowing,"KOCERKA, Teodor",POL,Men,single sculls (1x),M,Bronze,3
1952,Helsinki,Rowing,Rowing,"TYUKALOV, Yuri",URS,Men,single sculls (1x),M,Gold,1
1952,Helsinki,Rowing,Rowing,"WOOD, Merwyn Thomas",AUS,Men,single sculls (1x),M,Silver,2
1952,Helsinki,Sailing,Sailing,"SARBY, Rickard",SWE,Men,single-handed dinghy (Finn),M,Bronze,3
1952,Helsinki,Sailing,Sailing,"ELVSTROM, Paul",DEN,Men,single-handed dinghy (Finn),M,Gold,1
1952,Helsinki,Sailing,Sailing,"CURREY, Charles Norman",GBR,Men,single-handed dinghy (Finn),M,Silver,2
1952,Helsinki,Equestrian,Dressage,"POLLAY, Heinz",GER,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Dressage,"THIEDEMANN, Fritz",GER,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Dressage,"BOLTENSTERN JR., Gustaf Adolf",SWE,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Dressage,"PERSSON, Gehnäll",SWE,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Dressage,"SAINT CYR, Henri",SWE,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Dressage,"CHAMMARTIN, Henri",SUI,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Dressage,"FISCHER, Gustav",SUI,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Dressage,"TRACHSEL, Gottfried",SUI,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Dressage,"VON NAGEL, Ida",GER,Women,team,X,Bronze,3
1952,Helsinki,Equestrian,Eventing,"HOUGH, Charles Gordon Jr.",USA,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Eventing,"STALEY, Walter Goodwin Jr.",USA,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Eventing,"WOFFORD, John Edwin Brown",USA,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Eventing,"FRÖLEN, Folke",SWE,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Eventing,"STAHRE, Olof",SWE,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Eventing,"VON BLIXEN FINECKE JR., Hans",SWE,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Eventing,"BÜSING, Wilhelm ""Willy""",GER,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Eventing,"ROTHE, Otto",GER,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Eventing,"WAGNER, Klaus",GER,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Jumping,"MCCASHIN, Arthur Johan",USA,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Jumping,"RUSSELL, John William",USA,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Jumping,"STEINKRAUS, William Clark",USA,Men,team,X,Bronze,3
1952,Helsinki,Equestrian,Jumping,"LLEWELLYN, Harry Morton",GBR,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Jumping,"STEWART, Douglas Norman",GBR,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Jumping,"WHITE, Wilfred Harry",GBR,Men,team,X,Gold,1
1952,Helsinki,Equestrian,Jumping,"CRISTI-GALLO, Oscar",CHI,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Jumping,"ECHEVERRIA, Ricardo",CHI,Men,team,X,Silver,2
1952,Helsinki,Equestrian,Jumping,"MENDOZA, Cesar",CHI,Men,team,X,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"AALTONEN, Paavo Johannes",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"LAITINEN, Kalevi Johannes",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"LAPPALAINEN, Onni Armas",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"LEMPINEN, Kaino Johannes",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"LINDFORS, Berndt Torbjörn",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"ROVE, Olavi Antero",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"SAVOLAINEN, Heikki",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"VISKARI, Kalevi",FIN,Men,team competition,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"BELYAKOV, Vladimir",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"BERDIEV, Iosif",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"KOROLKOV, Yevgeni",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"LEONKIN, Dmitri",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"MURATOV, Valentin",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"PERELMAN, Mikhail",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"SHAGINYAN, Grant",URS,Men,team competition,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"EUGSTER, Hans",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"FIVIAN, Ernst",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"GEBENDINGER, Ernst",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"GÜNTHARD, Jakob (Jack)",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"SCHWARZENTRUBER, Johannes (Hans)",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"STALDER, Josef",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"THALMANN, Melchior",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"TSCHABOLD, Jean Louis",SUI,Men,team competition,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"BOBKOVA-MAREJKOVA, Hana",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"CHADIMOVA, Alena",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"RABASOVA, Jana",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"REICHOVA, Alena",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"SINOVA-MATOUSKOVA, Matylda",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"SRNCOVA, Bozena",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"VANCUROVA-DRAZDIKOVA, Vera",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"VECHTOVA-BOSAKOVA, Eva",TCH,Women,team competition,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"BOCHAROVA, Nina",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"DANILOVA, Pelageya",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"DZUGELI, Medeya",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"KALINCHUK, Ekaterina",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"MINAICHEVA, Galina",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"SHAMRAI, Galina",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"URBANOVICH, Galina",URS,Women,team competition,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"BODO-MOLNAR, Andrea",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"DARUHAZI, Laszlone",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"GULYAS, Karolyne",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"KORONDI, Margit",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"PERENYI, Karolyne",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"TASS LEMHENYI, Olga",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"ZALAI, Laszlone",HUN,Women,team competition,W,Silver,2
1952,Helsinki,Cycling,Cycling Road,"ANQUETIL, Jacques",FRA,Men,team time trial,M,Bronze,3
1952,Helsinki,Cycling,Cycling Road,"ROUER, Claude Paul Lucien",FRA,Men,team time trial,M,Bronze,3
1952,Helsinki,Cycling,Cycling Road,"TONELLO, Alfred",FRA,Men,team time trial,M,Bronze,3
1952,Helsinki,Cycling,Cycling Road,"GRONDELAERS, Robert",BEL,Men,team time trial,M,Gold,1
1952,Helsinki,Cycling,Cycling Road,"NOYELLE, Andre Alfons",BEL,Men,team time trial,M,Gold,1
1952,Helsinki,Cycling,Cycling Road,"VICTOR, Lucien Honore",BEL,Men,team time trial,M,Gold,1
1952,Helsinki,Cycling,Cycling Road,"BRUNI, Dino",ITA,Men,team time trial,M,Silver,2
1952,Helsinki,Cycling,Cycling Road,"GHIDINI, Gianni",ITA,Men,team time trial,M,Silver,2
1952,Helsinki,Cycling,Cycling Road,"ZUCCONELLI, Vincenzo",ITA,Men,team time trial,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"BODO-MOLNAR, Andrea",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"DARUHAZI, Laszlone",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"GULYAS, Karolyne",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"KORONDI, Margit",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"PERENYI, Karolyne",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"TASS LEMHENYI, Olga",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"ZALAI, Laszlone",HUN,Women,"team, portable apparatus",W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"BERGGREN, Evy",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"BLOMBERG, Vanja",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"COLLING-PETTERSSON, Ann-Sofi",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"LINDBERG, Karin",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"NORDIN, Hjördis",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"PETTERSSON, Göta",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"RÖRING, Gun",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"SANDAHL, Ingrid",SWE,Women,"team, portable apparatus",W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"BOCHAROVA, Nina",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"DANILOVA, Pelageya",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"DZUGELI, Medeya",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"KALINCHUK, Ekaterina",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"MINAICHEVA, Galina",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"SHAMRAI, Galina",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"URBANOVICH, Galina",URS,Women,"team, portable apparatus",W,Silver,2
1952,Helsinki,Shooting,Shooting,"LILJEDAHL, Hans",SWE,Men,trap (125 targets),M,Bronze,3
1952,Helsinki,Shooting,Shooting,"GENEREUX, George Patrick",CAN,Men,trap (125 targets),M,Gold,1
1952,Helsinki,Shooting,Shooting,"HOLMQVIST, Knut",SWE,Men,trap (125 targets),M,Silver,2
1952,Helsinki,Athletics,Athletics,"DEVONISH, Arnaldo",VEN,Men,triple jump,M,Bronze,3
1952,Helsinki,Athletics,Athletics,"FERREIRA DA SILVA, Adhemar",BRA,Men,triple jump,M,Gold,1
1952,Helsinki,Athletics,Athletics,"SHCHERBAKOV, Leonid",URS,Men,triple jump,M,Silver,2
1952,Helsinki,Sailing,Sailing,"ANDRADE, Francisco Rebello De",POR,Men,two-person keelboat open (Star),X,Bronze,3
1952,Helsinki,Sailing,Sailing,"FIUZA, Joaquim Mascarenhas De M.",POR,Men,two-person keelboat open (Star),X,Bronze,3
1952,Helsinki,Sailing,Sailing,"RODE, Nicolo",ITA,Men,two-person keelboat open (Star),X,Gold,1
1952,Helsinki,Sailing,Sailing,"STRAULINO, Agostino",ITA,Men,two-person keelboat open (Star),X,Gold,1
1952,Helsinki,Sailing,Sailing,"PRICE, John Wesley",USA,Men,two-person keelboat open (Star),X,Silver,2
1952,Helsinki,Sailing,Sailing,"REID, John S.",USA,Men,two-person keelboat open (Star),X,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Women,uneven bars,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"KORONDI, Margit",HUN,Women,uneven bars,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,Women,uneven bars,W,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"ONO, Takashi",JPN,Men,vault,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"UESAKO, Tadao",JPN,Men,vault,M,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,Men,vault,M,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"TAKEMOTO, Masao",JPN,Men,vault,M,Silver,2
1952,Helsinki,Gymnastics,Artistic G.,"MINAICHEVA, Galina",URS,Women,vault,W,Bronze,3
1952,Helsinki,Gymnastics,Artistic G.,"KALINCHUK, Ekaterina",URS,Women,vault,W,Gold,1
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,Women,vault,W,Silver,2
1952,Helsinki,Aquatics,Water polo,"ARENA, Ermenegildo",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"CECCARINI, Lucio",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"DE SANZUANE, Renato",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"GAMBINO, Raffaello",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"GIONTA, Salvatore",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"MANNELLI, Maurizio",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"OGNIO, Geminio",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"PERETTI, Carlo",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"POLITO, Vincenzo",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"RUBINI, Cesare",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"TRAIOLA, Renato",ITA,Men,water polo,M,Bronze,3
1952,Helsinki,Aquatics,Water polo,"ANTAL, Robert",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"BOLVARI, Antal",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"FABIAN, Dezsö",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"GYARMATI, Dezso",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"HASZNOS, Istvan",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"JENEI, Laszlo",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"KARPATI, György",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"LEMHENYI, DezsÃ¶",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"MARKOVICS, Kalman",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"MARTIN, Miklos",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"SZITTYA, Karoly",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"SZIVOS, Istvan",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"VIZVARI, György",HUN,Men,water polo,M,Gold,1
1952,Helsinki,Aquatics,Water polo,"BAKASUN, Veljko",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"BRAINOVIC, Marko",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"IVKOVIC, Vladimir",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"JEZIC, Zdravko",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"KOVACIC, Zdravko",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"KURTINI, Ivo",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"RADONIC, Lovro",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"STAKULA, Ivo",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Aquatics,Water polo,"VUKSANOVIC, Bosko",YUG,Men,water polo,M,Silver,2
1952,Helsinki,Fencing,Fencing,"ZAPPELLI, Oswald",SUI,Men,épée individual,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"MANGIAROTTI, Edoardo",ITA,Men,épée individual,M,Gold,1
1952,Helsinki,Fencing,Fencing,"MANGIAROTTI, Dario",ITA,Men,épée individual,M,Silver,2
1952,Helsinki,Fencing,Fencing,"BARTH, Paul",SUI,Men,épée team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"FITTING, Willy",SUI,Men,épée team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"MEISTER, Paul",SUI,Men,épée team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"RÜFENACHT, Otto",SUI,Men,épée team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"VALOTA, Mario",SUI,Men,épée team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"ZAPPELLI, Oswald",SUI,Men,épée team,M,Bronze,3
1952,Helsinki,Fencing,Fencing,"BATTAGLIA, Roberto",ITA,Men,épée team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"BERTINETTI, Franco",ITA,Men,épée team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"DELFINO, Giuseppe",ITA,Men,épée team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"MANGIAROTTI, Dario",ITA,Men,épée team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"MANGIAROTTI, Edoardo",ITA,Men,épée team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"PAVESI, Carlo",ITA,Men,épée team,M,Gold,1
1952,Helsinki,Fencing,Fencing,"CARLESON, Per Hjalmar",SWE,Men,épée team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"FAHLMAN, Sven",SWE,Men,épée team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"FORSSELL, Carl",SWE,Men,épée team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"LJUNGQUIST, Bengt",SWE,Men,épée team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"MAGNUSSON, Lennart",SWE,Men,épée team,M,Silver,2
1952,Helsinki,Fencing,Fencing,"REHBINDER, Berndt-Otto",SWE,Men,épée team,M,Silver,2
1956,Melbourne / Stockholm,Boxing,Boxing,"BEKKER, Daniel Wepener",RSA,Men,+ 81kg (heavyweight),M,Bronze,3
1956,Melbourne / Stockholm,Boxing,Boxing,"BOZZANO, Giacomo",ITA,Men,+ 81kg (heavyweight),M,Bronze,3
1956,Melbourne / Stockholm,Boxing,Boxing,"RADEMACHER, Thomas Peter",USA,Men,+ 81kg (heavyweight),M,Gold,1
1956,Melbourne / Stockholm,Boxing,Boxing,"MUKHIN, Lev",URS,Men,+ 81kg (heavyweight),M,Silver,2
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"KANGASNIEMI, Taisto Ilmari",FIN,Men,+ 87kg (heavyweight),M,Bronze,3
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"KAPLAN, Hamit",TUR,Men,+ 87kg (heavyweight),M,Gold,1
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"MEKMEDOV, Hussein Alitiev",BUL,Men,+ 87kg (heavyweight),M,Silver,2
1956,Melbourne / Stockholm,Wrestling,Wrestling Gre-R,"BULGARELLI, Adelmo",ITA,Men,+ 87kg (super heavyweight),M,Bronze,3
1956,Melbourne / Stockholm,Wrestling,Wrestling Gre-R,"PARFENOV, Anatoli",URS,Men,+ 87kg (super heavyweight),M,Gold,1
1956,Melbourne / Stockholm,Wrestling,Wrestling Gre-R,"DIETRICH, Wilfried",EUA,Men,+ 87kg (super heavyweight),M,Silver,2
1956,Melbourne / Stockholm,Weightlifting,Weightlifting,"PIGAIANI, Alberto",ITA,Men,"+ 90kg, total (heavyweight)",M,Bronze,3
1956,Melbourne / Stockholm,Weightlifting,Weightlifting,"ANDERSON, Paul Edward",USA,Men,"+ 90kg, total (heavyweight)",M,Gold,1
1956,Melbourne / Stockholm,Weightlifting,Weightlifting,"SELVETTI, Humberto",ARG,Men,"+ 90kg, total (heavyweight)",M,Silver,2
1956,Melbourne / Stockholm,Boxing,Boxing,"CALDWELL, John",IRL,Men,- 51kg (flyweight),M,Bronze,3
1956,Melbourne / Stockholm,Boxing,Boxing,"LIBEER, Rene",FRA,Men,- 51kg (flyweight),M,Bronze,3
1956,Melbourne / Stockholm,Boxing,Boxing,"SPINKS, Terence George",GBR,Men,- 51kg (flyweight),M,Gold,1
1956,Melbourne / Stockholm,Boxing,Boxing,"DOBRESCU, Mircea",ROU,Men,- 51kg (flyweight),M,Silver,2
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"AKBAS, Hüseyin",TUR,Men,- 52kg (flyweight),M,Bronze,3
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"TSALKALAMANIDZE, Mirian",URS,Men,- 52kg (flyweight),M,Gold,1
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"KHOJASTEHPOUR, Mohammad Ali",IRI,Men,- 52kg (flyweight),M,Silver,2
1956,Melbourne / Stockholm,Wrestling,Wrestling Gre-R,"EGRIBAS, Dursan Ali",TUR,Men,- 52kg (flyweight),M,Bronze,3
